"article";"category";"productgroup";"cost"
"OC6355";"TRAINING";"SHOES";13.29
"AP5568";"TRAINING";"SHORTS";2.29
"CB8861";"GOLF";"HARDWARE ACCESSORIES";1.7
"LI3529";"RUNNING";"SHOES";9
"GG8661";"RELAX CASUAL";"SHOES";9.6
"TX1463";"TRAINING";"SWEATSHIRTS";4.2
"PC6383";"FOOTBALL GENERIC";"SHOES";9.9
"VT7698";"INDOOR";"SHOES";5.2
"FG2965";"RUNNING";"HARDWARE ACCESSORIES";1.29
"AC7347";"FOOTBALL GENERIC";"SHOES";8.7
"VH1588";"TENNIS";"SHOES";7.8
"ZE9366";"RUNNING";"SHORTS";3.1
"EZ8648";"TRAINING";"T-SHIRTS";2.5
"QK7994";"RUNNING";"SHOES";8.6
"IR3275";"FOOTBALL LICENSED";"SHORTS";2.7
"PY2718";"OUTDOOR";"SHOES";12.6
"JC1565";"INDOOR";"SHOES";5.9
"JY1726";"TRAINING";"SWEATSHIRTS";4.1
"RE3197";"BASKETBALL GENERIC";"SHORTS";2.4
"GP3497";"RUNNING";"HARDWARE ACCESSORIES";1.6
"TX8432";"INDOOR";"SHOES";6.3
"OU2254";"RUNNING";"T-SHIRTS";2.7
"SW2464";"FOOTBALL GENERIC";"SHOES";8
"HM5731";"FOOTBALL GENERIC";"SHOES";11.8
"AJ7542";"RUNNING";"SHOES";8.29
"KI5716";"INDOOR";"HARDWARE ACCESSORIES";4.1
"XB1815";"RUNNING";"HARDWARE ACCESSORIES";1.4
"QO7834";"RUNNING";"SHOES";7.9
"WZ7972";"TRAINING";"SHOES";5.7
"FV6234";"TRAINING";"PANTS";3.1
"LR5226";"TRAINING";"SHORTS";2.29
"CA2479";"SWIM";"HARDWARE ACCESSORIES";0.7
"LU6658";"RUNNING";"SHORTS";2.9
"VT1698";"TRAINING";"HARDWARE ACCESSORIES";1.5
"EC5317";"INDOOR";"SHOES";6.3
"PY1419";"TENNIS";"SHORTS";3.8
"SC5839";"TRAINING";"PANTS";3.3
"GP6821";"FOOTBALL LICENSED";"T-SHIRTS";2.1
"GR1127";"TRAINING";"HARDWARE ACCESSORIES";2.1
"ZW6694";"RUNNING";"SHOES";10
"TN7113";"FOOTBALL GENERIC";"SHOES";11.5
